model,audio_file,elapsed_sec,success,cpu_mean,cpu_max,memory_mean_gb,memory_max_gb,memory_percent_mean,memory_percent_max,gpu_util_mean,gpu_util_max,gpu_mem_mean_mb,gpu_mem_max_mb
small,data/wav/hu/hu0800.mp3,0.1080389022827148,False,12.6,12.6,17.086933135986328,17.086933135986328,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/hu/hu0800.mp3,1.053330421447754,False,29.0,29.0,17.15444564819336,17.15444564819336,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/hu/hu0800.mp3,1.060678005218506,False,23.2,23.2,17.156524658203125,17.156524658203125,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/hu/hu0800.mp3,1.033766269683838,False,20.4,20.4,17.159866333007812,17.159866333007812,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/hu/hu0593.mp3,0.1102678775787353,False,9.6,9.6,17.087478637695312,17.087478637695312,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/hu/hu0593.mp3,1.1146540641784668,False,14.6,14.6,17.144737243652344,17.144737243652344,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/hu/hu0593.mp3,1.0505471229553225,False,31.7,31.7,17.149215698242188,17.149215698242188,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/hu/hu0593.mp3,1.0504515171051023,False,28.0,28.0,17.143569946289062,17.143569946289062,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/es/es0716.mp3,0.1051630973815918,False,12.6,12.6,17.07522201538086,17.07522201538086,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/es/es0716.mp3,1.030097723007202,False,26.3,26.3,17.141441345214844,17.141441345214844,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/es/es0716.mp3,1.048393726348877,False,26.1,26.1,17.14327621459961,17.14327621459961,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/es/es0716.mp3,1.0071539878845217,False,27.4,27.4,17.146690368652344,17.146690368652344,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/es/es0977.mp3,0.108579397201538,False,9.7,9.7,17.083633422851562,17.083633422851562,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/es/es0977.mp3,1.0367519855499268,False,30.7,30.7,17.149200439453125,17.149200439453125,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/es/es0977.mp3,1.0575528144836426,False,16.6,16.6,17.150577545166016,17.150577545166016,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/es/es0977.mp3,1.0405714511871338,False,23.9,23.9,17.158435821533203,17.158435821533203,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/es/es0795.mp3,0.1204161643981933,False,10.1,10.1,17.0794677734375,17.0794677734375,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/es/es0795.mp3,1.030076503753662,False,29.9,29.9,17.14841079711914,17.14841079711914,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/es/es0795.mp3,1.0280942916870115,False,27.6,27.6,17.151996612548828,17.151996612548828,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/es/es0795.mp3,1.0474388599395752,False,26.3,26.3,17.149314880371094,17.149314880371094,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/es/es0846.mp3,0.1156003475189209,False,10.7,10.7,17.08441162109375,17.08441162109375,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/es/es0846.mp3,1.0023810863494873,False,30.8,30.8,17.141239166259766,17.141239166259766,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/es/es0846.mp3,1.0562798976898191,False,28.9,28.9,17.142650604248047,17.142650604248047,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/es/es0846.mp3,1.046264886856079,False,24.1,24.1,17.151473999023438,17.151473999023438,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/es/es0288.mp3,0.1182963848114013,False,11.3,11.3,17.076736450195312,17.076736450195312,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/es/es0288.mp3,1.0525202751159668,False,31.9,31.9,17.14362335205078,17.14362335205078,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/es/es0288.mp3,1.04551362991333,False,32.8,32.8,17.14947509765625,17.14947509765625,27.4,27.4,0.0,0.0,24.0,24.0
